[1548613800] LOG ROTATION: DAILY
[1548613800] LOG VERSION: 2.0
[1548613800] CURRENT SERVICE STATE: localhost;Total Processes;OK;HARD;1;PROCS OK: 77 processes with STATE = RSZDT
[1548613800] CURRENT SERVICE STATE: router1;check-host-alive;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.53 ms
[1548613800] CURRENT SERVICE STATE: router2;check-host-alive;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.77 ms
[1548613800] CURRENT SERVICE STATE: router3;check-host-alive;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1548613800] CURRENT SERVICE STATE: vmware10gswitch;check-host-alive;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 1.41 ms
[1548613800] CURRENT SERVICE STATE: vmwaremgmtswitch;check-host-alive;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 5.35 ms
[1548615519] Auto-save of retention data completed successfully.
[1548615945] SERVICE ALERT: esxi02;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616073] SERVICE ALERT: esxi02;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616202] SERVICE ALERT: esxi02;ESXi Hardware Check;OK;HARD;1;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616348] SERVICE ALERT: esxi01;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616476] SERVICE ALERT: esxi01;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616605] SERVICE NOTIFICATION: nagiosadmin;esxi01;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616605] SERVICE ALERT: esxi01;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548616803] SERVICE ALERT: esxi02;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
